filename,image,text,weak_label,label,split,source_dataset,notes
00000.jpg,images/00000.jpg,Contribution 贡献 000000000 gif,neutral,neutral,train,mrzjy/ChineseBQB,
00001.jpg,images/00001.jpg,Contribution 贡献 2c7889dbe9efbf7145d3ef669b11d22d gif,neutral,neutral,train,mrzjy/ChineseBQB,
00002.jpg,images/00002.jpg,Contribution 贡献 4c92b891ly1ghxdcssghij205k04u74a jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00003.jpg,images/00003.jpg,Contribution 贡献 8b4a01da911cb2b27f38392a067d0a0b jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00004.jpg,images/00004.jpg,Contribution 贡献 歪脑 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00005.jpg,images/00005.jpg,Contribution 贡献 contribution00002 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00006.jpg,images/00006.jpg,Contribution 贡献 contribution00003 gif,neutral,neutral,train,mrzjy/ChineseBQB,
00007.jpg,images/00007.jpg,Contribution 贡献 contribution00005 jpg,neutral,neutral,validation,mrzjy/ChineseBQB,
00008.jpg,images/00008.jpg,Contribution 贡献 contribution00006 jpg,neutral,neutral,validation,mrzjy/ChineseBQB,
00009.jpg,images/00009.jpg,Contribution 贡献 contribution00007 jpg,neutral,neutral,test,mrzjy/ChineseBQB,
00010.jpg,images/00010.jpg,Contribution 贡献 contribution00008 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00011.jpg,images/00011.jpg,Contribution 贡献 contribution00009 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00012.jpg,images/00012.jpg,Contribution 贡献 contribution00010 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00013.jpg,images/00013.jpg,Contribution 贡献 contribution00011 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00014.jpg,images/00014.jpg,Contribution 贡献 contribution00012 gif,neutral,neutral,train,mrzjy/ChineseBQB,
00015.jpg,images/00015.jpg,Contribution 贡献 contribution00013 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00016.jpg,images/00016.jpg,Contribution 贡献 hetui001 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00017.jpg,images/00017.jpg,Contribution 贡献 hetui002 jpg,neutral,neutral,validation,mrzjy/ChineseBQB,
00018.jpg,images/00018.jpg,Contribution 贡献 hetui003 jpg,neutral,neutral,validation,mrzjy/ChineseBQB,
00019.jpg,images/00019.jpg,Contribution 贡献 hetui004 jpg,neutral,neutral,test,mrzjy/ChineseBQB,
00020.jpg,images/00020.jpg,Contribution 贡献 376c0ee1664a20ca gif,neutral,neutral,train,mrzjy/ChineseBQB,
00021.jpg,images/00021.jpg,Contribution 贡献 78bea92e972d7395 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00022.jpg,images/00022.jpg,Contribution 贡献 19 13 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00023.jpg,images/00023.jpg,Contribution 贡献 250df27e9c8e6c26549a876fbdad61fe8d224229 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00024.jpg,images/00024.jpg,Contribution 贡献 41e1f9aa39d7534c jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00025.jpg,images/00025.jpg,Contribution 贡献 6dd57921ly1ghenwqkjx3j20aq0afdgr jpg,neutral,neutral,train,mrzjy/ChineseBQB,
00026.jpg,images/00026.jpg,Contribution 贡献 72104f1ab294919b12925486bba2b5f08119f961 jpg,neutral,neutral,train,mrzjy/ChineseBQB,
