filename,image,text,weak_label,label,split,source_dataset,notes
00000.jpg,images/00000.jpg,Contribution 贡献 000000000 gif,neutral,neutral,train,mrzjy/ChineseBQB,"remove_static_frame
"
00001.jpg,images/00001.jpg,Contribution 贡献 2c7889dbe9efbf7145d3ef669b11d22d gif,neutral,mocking,train,mrzjy/ChineseBQB,"
"
00002.jpg,images/00002.jpg,Contribution 贡献 4c92b891ly1ghxdcssghij205k04u74a jpg,neutral,mocking,train,mrzjy/ChineseBQB,"playful_teasing

"
00003.jpg,images/00003.jpg,Contribution 贡献 8b4a01da911cb2b27f38392a067d0a0b jpg,neutral,mocking,train,mrzjy/ChineseBQB,"sarcastic_tone

"
00004.jpg,images/00004.jpg,Contribution 贡献 歪脑 jpg,neutral,neutral,train,mrzjy/ChineseBQB,"cute


"
00005.jpg,images/00005.jpg,Contribution 贡献 contribution00002 jpg,neutral,mocking,train,mrzjy/ChineseBQB,"sarcastic_tone



"
00006.jpg,images/00006.jpg,Contribution 贡献 contribution00003 gif,neutral,mocking,train,mrzjy/ChineseBQB,"celebrity_mocking




"
00007.jpg,images/00007.jpg,Contribution 贡献 contribution00005 jpg,neutral,mocking,validation,mrzjy/ChineseBQB,"friendly_teasing




"
00008.jpg,images/00008.jpg,Contribution 贡献 contribution00006 jpg,neutral,mocking,validation,mrzjy/ChineseBQB,"friendly_teasing




"
00009.jpg,images/00009.jpg,Contribution 贡献 contribution00007 jpg,neutral,neutral,test,mrzjy/ChineseBQB,"friendly_joke




"
00010.jpg,images/00010.jpg,Contribution 贡献 contribution00008 jpg,neutral,neutral,train,mrzjy/ChineseBQB,"cute


"
00011.jpg,images/00011.jpg,Contribution 贡献 contribution00009 jpg,neutral,comfort,train,mrzjy/ChineseBQB,"sad_express
"
00012.jpg,images/00012.jpg,Contribution 贡献 contribution00010 jpg,neutral,agreement,train,mrzjy/ChineseBQB,"playful_praise

"
00013.jpg,images/00013.jpg,Contribution 贡献 contribution00011 jpg,neutral,neutral,train,mrzjy/ChineseBQB,"cute

"
00014.jpg,images/00014.jpg,Contribution 贡献 contribution00012 gif,neutral,confusion,train,mrzjy/ChineseBQB,"

"
00015.jpg,images/00015.jpg,Contribution 贡献 contribution00013 jpg,neutral,mocking,train,mrzjy/ChineseBQB,"playful_nonsense


"
00016.jpg,images/00016.jpg,Contribution 贡献 hetui001 jpg,neutral,mocking,train,mrzjy/ChineseBQB,"friendly_mocking


"
00017.jpg,images/00017.jpg,Contribution 贡献 hetui002 jpg,neutral,mocking,validation,mrzjy/ChineseBQB,"friendly_mocking


"
00018.jpg,images/00018.jpg,Contribution 贡献 hetui003 jpg,neutral,mocking,validation,mrzjy/ChineseBQB,"friendly_mocking


"
00019.jpg,images/00019.jpg,Contribution 贡献 hetui004 jpg,neutral,mocking,test,mrzjy/ChineseBQB,"friendly_mocking


"
00020.jpg,images/00020.jpg,Contribution 贡献 376c0ee1664a20ca gif,neutral,neutral,train,mrzjy/ChineseBQB,"nonsense


"
00021.jpg,images/00021.jpg,Contribution 贡献 78bea92e972d7395 jpg,neutral,mocking,train,mrzjy/ChineseBQB,"playful_threat



"
00022.jpg,images/00022.jpg,Contribution 贡献 19 13 jpg,neutral,mocking,train,mrzjy/ChineseBQB,"playful_bragging



"
00023.jpg,images/00023.jpg,Contribution 贡献 250df27e9c8e6c26549a876fbdad61fe8d224229 jpg,neutral,neutral,train,mrzjy/ChineseBQB,"no_special_meaning



"
00024.jpg,images/00024.jpg,Contribution 贡献 41e1f9aa39d7534c jpg,neutral,mocking,train,mrzjy/ChineseBQB,"
playful_teasing


"
00025.jpg,images/00025.jpg,Contribution 贡献 6dd57921ly1ghenwqkjx3j20aq0afdgr jpg,neutral,refusal,train,mrzjy/ChineseBQB,"playful_teasing


"
00026.jpg,images/00026.jpg,Contribution 贡献 72104f1ab294919b12925486bba2b5f08119f961 jpg,neutral,neutral,train,mrzjy/ChineseBQB,"no_special_meaning


"
00027.jpg,images/00027.jpg,Contribution 贡献 e0cdeb6a6f9bf9989d8bb7d150d808e0 jpg,neutral,neutral,validation,mrzjy/ChineseBQB,"cute_hungry

"
00028.jpg,images/00028.jpg,Contribution 贡献  jpg,neutral,confusion,validation,mrzjy/ChineseBQB,"cute_confusion

"
00029.jpg,images/00029.jpg,Contribution 贡献 TIM图片20200524084313 png,neutral,refusal,test,mrzjy/ChineseBQB,"cute_refusal

"
00030.jpg,images/00030.jpg,Contribution 贡献 泪，冲了下来 jpg,neutral,neutral,train,mrzjy/ChineseBQB,"abstract_sadness

"
